date_nk,region,title,notes
2019-01-01,england-and-wales,New Year’s Day,
2019-01-01,northern-ireland,New Year’s Day,
2019-01-01,scotland,New Year’s Day,
2019-01-02,scotland,2nd January,
2019-03-18,northern-ireland,St Patrick’s Day,Substitute day
2019-04-19,england-and-wales,Good Friday,
2019-04-19,northern-ireland,Good Friday,
2019-04-19,scotland,Good Friday,
2019-04-22,england-and-wales,Easter Monday,
2019-04-22,northern-ireland,Easter Monday,
2019-05-06,england-and-wales,Early May bank holiday,
2019-05-06,northern-ireland,Early May bank holiday,
2019-05-06,scotland,Early May bank holiday,
2019-05-27,england-and-wales,Spring bank holiday,
2019-05-27,northern-ireland,Spring bank holiday,
2019-05-27,scotland,Spring bank holiday,
2019-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2019-08-05,scotland,Summer bank holiday,
2019-08-26,england-and-wales,Summer bank holiday,
2019-08-26,northern-ireland,Summer bank holiday,
2019-12-02,scotland,St Andrew’s Day,Substitute day
2019-12-25,england-and-wales,Christmas Day,
2019-12-25,northern-ireland,Christmas Day,
2019-12-25,scotland,Christmas Day,
2019-12-26,england-and-wales,Boxing Day,
2019-12-26,northern-ireland,Boxing Day,
2019-12-26,scotland,Boxing Day,
2020-01-01,england-and-wales,New Year’s Day,
2020-01-01,northern-ireland,New Year’s Day,
2020-01-01,scotland,New Year’s Day,
2020-01-02,scotland,2nd January,
2020-03-17,northern-ireland,St Patrick’s Day,
2020-04-10,england-and-wales,Good Friday,
2020-04-10,northern-ireland,Good Friday,
2020-04-10,scotland,Good Friday,
2020-04-13,england-and-wales,Easter Monday,
2020-04-13,northern-ireland,Easter Monday,
2020-05-08,england-and-wales,Early May bank holiday (VE day),
2020-05-08,northern-ireland,Early May bank holiday (VE day),
2020-05-08,scotland,Early May bank holiday (VE day),
2020-05-25,england-and-wales,Spring bank holiday,
2020-05-25,northern-ireland,Spring bank holiday,
2020-05-25,scotland,Spring bank holiday,
2020-07-13,northern-ireland,Battle of the Boyne (Orangemen’s Day),Substitute day
2020-08-03,scotland,Summer bank holiday,
2020-08-31,england-and-wales,Summer bank holiday,
2020-08-31,northern-ireland,Summer bank holiday,
2020-11-30,scotland,St Andrew’s Day,
2020-12-25,england-and-wales,Christmas Day,
2020-12-25,northern-ireland,Christmas Day,
2020-12-25,scotland,Christmas Day,
2020-12-28,england-and-wales,Boxing Day,Substitute day
2020-12-28,northern-ireland,Boxing Day,Substitute day
2020-12-28,scotland,Boxing Day,Substitute day
2021-01-01,england-and-wales,New Year’s Day,
2021-01-01,northern-ireland,New Year’s Day,
2021-01-01,scotland,New Year’s Day,
2021-01-04,scotland,2nd January,Substitute day
2021-03-17,northern-ireland,St Patrick’s Day,
2021-04-02,england-and-wales,Good Friday,
2021-04-02,northern-ireland,Good Friday,
2021-04-02,scotland,Good Friday,
2021-04-05,england-and-wales,Easter Monday,
2021-04-05,northern-ireland,Easter Monday,
2021-05-03,england-and-wales,Early May bank holiday,
2021-05-03,northern-ireland,Early May bank holiday,
2021-05-03,scotland,Early May bank holiday,
2021-05-31,england-and-wales,Spring bank holiday,
2021-05-31,northern-ireland,Spring bank holiday,
2021-05-31,scotland,Spring bank holiday,
2021-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2021-08-02,scotland,Summer bank holiday,
2021-08-30,england-and-wales,Summer bank holiday,
2021-08-30,northern-ireland,Summer bank holiday,
2021-11-30,scotland,St Andrew’s Day,
2021-12-27,england-and-wales,Christmas Day,Substitute day
2021-12-27,northern-ireland,Christmas Day,Substitute day
2021-12-27,scotland,Christmas Day,Substitute day
2021-12-28,england-and-wales,Boxing Day,Substitute day
2021-12-28,northern-ireland,Boxing Day,Substitute day
2021-12-28,scotland,Boxing Day,Substitute day
2022-01-03,england-and-wales,New Year’s Day,Substitute day
2022-01-03,northern-ireland,New Year’s Day,Substitute day
2022-01-03,scotland,New Year’s Day,Substitute day
2022-01-04,scotland,2nd January,Substitute day
2022-03-17,northern-ireland,St Patrick’s Day,
2022-04-15,england-and-wales,Good Friday,
2022-04-15,northern-ireland,Good Friday,
2022-04-15,scotland,Good Friday,
2022-04-18,england-and-wales,Easter Monday,
2022-04-18,northern-ireland,Easter Monday,
2022-05-02,england-and-wales,Early May bank holiday,
2022-05-02,northern-ireland,Early May bank holiday,
2022-05-02,scotland,Early May bank holiday,
2022-06-02,england-and-wales,Spring bank holiday,
2022-06-02,northern-ireland,Spring bank holiday,
2022-06-02,scotland,Spring bank holiday,
2022-06-03,england-and-wales,Platinum Jubilee bank holiday,
2022-06-03,northern-ireland,Platinum Jubilee bank holiday,
2022-06-03,scotland,Platinum Jubilee bank holiday,
2022-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2022-08-01,scotland,Summer bank holiday,
2022-08-29,england-and-wales,Summer bank holiday,
2022-08-29,northern-ireland,Summer bank holiday,
2022-09-19,england-and-wales,Bank Holiday for the State Funeral of Queen Elizabeth II,
2022-09-19,northern-ireland,Bank Holiday for the State Funeral of Queen Elizabeth II,
2022-09-19,scotland,Bank Holiday for the State Funeral of Queen Elizabeth II,
2022-11-30,scotland,St Andrew’s Day,
2022-12-26,england-and-wales,Boxing Day,
2022-12-26,northern-ireland,Boxing Day,
2022-12-26,scotland,Boxing Day,
2022-12-27,england-and-wales,Christmas Day,Substitute day
2022-12-27,northern-ireland,Christmas Day,Substitute day
2022-12-27,scotland,Christmas Day,Substitute day
2023-01-02,england-and-wales,New Year’s Day,Substitute day
2023-01-02,northern-ireland,New Year’s Day,Substitute day
2023-01-02,scotland,New Year’s Day,Substitute day
2023-01-03,scotland,2nd January,Substitute day
2023-03-17,northern-ireland,St Patrick’s Day,
2023-04-07,england-and-wales,Good Friday,
2023-04-07,northern-ireland,Good Friday,
2023-04-07,scotland,Good Friday,
2023-04-10,england-and-wales,Easter Monday,
2023-04-10,northern-ireland,Easter Monday,
2023-05-01,england-and-wales,Early May bank holiday,
2023-05-01,northern-ireland,Early May bank holiday,
2023-05-01,scotland,Early May bank holiday,
2023-05-08,england-and-wales,Bank holiday for the coronation of King Charles III,
2023-05-08,northern-ireland,Bank holiday for the coronation of King Charles III,
2023-05-08,scotland,Bank holiday for the coronation of King Charles III,
2023-05-29,england-and-wales,Spring bank holiday,
2023-05-29,northern-ireland,Spring bank holiday,
2023-05-29,scotland,Spring bank holiday,
2023-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2023-08-07,scotland,Summer bank holiday,
2023-08-28,england-and-wales,Summer bank holiday,
2023-08-28,northern-ireland,Summer bank holiday,
2023-11-30,scotland,St Andrew’s Day,
2023-12-25,england-and-wales,Christmas Day,
2023-12-25,northern-ireland,Christmas Day,
2023-12-25,scotland,Christmas Day,
2023-12-26,england-and-wales,Boxing Day,
2023-12-26,northern-ireland,Boxing Day,
2023-12-26,scotland,Boxing Day,
2024-01-01,england-and-wales,New Year’s Day,
2024-01-01,northern-ireland,New Year’s Day,
2024-01-01,scotland,New Year’s Day,
2024-01-02,scotland,2nd January,
2024-03-18,northern-ireland,St Patrick’s Day,Substitute day
2024-03-29,england-and-wales,Good Friday,
2024-03-29,northern-ireland,Good Friday,
2024-03-29,scotland,Good Friday,
2024-04-01,england-and-wales,Easter Monday,
2024-04-01,northern-ireland,Easter Monday,
2024-05-06,england-and-wales,Early May bank holiday,
2024-05-06,northern-ireland,Early May bank holiday,
2024-05-06,scotland,Early May bank holiday,
2024-05-27,england-and-wales,Spring bank holiday,
2024-05-27,northern-ireland,Spring bank holiday,
2024-05-27,scotland,Spring bank holiday,
2024-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2024-08-05,scotland,Summer bank holiday,
2024-08-26,england-and-wales,Summer bank holiday,
2024-08-26,northern-ireland,Summer bank holiday,
2024-12-02,scotland,St Andrew’s Day,Substitute day
2024-12-25,england-and-wales,Christmas Day,
2024-12-25,northern-ireland,Christmas Day,
2024-12-25,scotland,Christmas Day,
2024-12-26,england-and-wales,Boxing Day,
2024-12-26,northern-ireland,Boxing Day,
2024-12-26,scotland,Boxing Day,
2025-01-01,england-and-wales,New Year’s Day,
2025-01-01,northern-ireland,New Year’s Day,
2025-01-01,scotland,New Year’s Day,
2025-01-02,scotland,2nd January,
2025-03-17,northern-ireland,St Patrick’s Day,
2025-04-18,england-and-wales,Good Friday,
2025-04-18,northern-ireland,Good Friday,
2025-04-18,scotland,Good Friday,
2025-04-21,england-and-wales,Easter Monday,
2025-04-21,northern-ireland,Easter Monday,
2025-05-05,england-and-wales,Early May bank holiday,
2025-05-05,northern-ireland,Early May bank holiday,
2025-05-05,scotland,Early May bank holiday,
2025-05-26,england-and-wales,Spring bank holiday,
2025-05-26,northern-ireland,Spring bank holiday,
2025-05-26,scotland,Spring bank holiday,
2025-07-14,northern-ireland,Battle of the Boyne (Orangemen’s Day),Substitute day
2025-08-04,scotland,Summer bank holiday,
2025-08-25,england-and-wales,Summer bank holiday,
2025-08-25,northern-ireland,Summer bank holiday,
2025-12-01,scotland,St Andrew’s Day,Substitute day
2025-12-25,england-and-wales,Christmas Day,
2025-12-25,northern-ireland,Christmas Day,
2025-12-25,scotland,Christmas Day,
2025-12-26,england-and-wales,Boxing Day,
2025-12-26,northern-ireland,Boxing Day,
2025-12-26,scotland,Boxing Day,
2026-01-01,england-and-wales,New Year’s Day,
2026-01-01,northern-ireland,New Year’s Day,
2026-01-01,scotland,New Year’s Day,
2026-01-02,scotland,2nd January,
2026-03-17,northern-ireland,St Patrick’s Day,
2026-04-03,england-and-wales,Good Friday,
2026-04-03,northern-ireland,Good Friday,
2026-04-03,scotland,Good Friday,
2026-04-06,england-and-wales,Easter Monday,
2026-04-06,northern-ireland,Easter Monday,
2026-05-04,england-and-wales,Early May bank holiday,
2026-05-04,northern-ireland,Early May bank holiday,
2026-05-04,scotland,Early May bank holiday,
2026-05-25,england-and-wales,Spring bank holiday,
2026-05-25,northern-ireland,Spring bank holiday,
2026-05-25,scotland,Spring bank holiday,
2026-06-15,scotland,World Cup bank holiday,
2026-07-13,northern-ireland,Battle of the Boyne (Orangemen’s Day),Substitute day
2026-08-03,scotland,Summer bank holiday,
2026-08-31,england-and-wales,Summer bank holiday,
2026-08-31,northern-ireland,Summer bank holiday,
2026-11-30,scotland,St Andrew’s Day,
2026-12-25,england-and-wales,Christmas Day,
2026-12-25,northern-ireland,Christmas Day,
2026-12-25,scotland,Christmas Day,
2026-12-28,england-and-wales,Boxing Day,Substitute day
2026-12-28,northern-ireland,Boxing Day,Substitute day
2026-12-28,scotland,Boxing Day,Substitute day
2027-01-01,england-and-wales,New Year’s Day,
2027-01-01,northern-ireland,New Year’s Day,
2027-01-01,scotland,New Year’s Day,
2027-01-04,scotland,2nd January,Substitute day
2027-03-17,northern-ireland,St Patrick’s Day,
2027-03-26,england-and-wales,Good Friday,
2027-03-26,northern-ireland,Good Friday,
2027-03-26,scotland,Good Friday,
2027-03-29,england-and-wales,Easter Monday,
2027-03-29,northern-ireland,Easter Monday,
2027-05-03,england-and-wales,Early May bank holiday,
2027-05-03,northern-ireland,Early May bank holiday,
2027-05-03,scotland,Early May bank holiday,
2027-05-31,england-and-wales,Spring bank holiday,
2027-05-31,northern-ireland,Spring bank holiday,
2027-05-31,scotland,Spring bank holiday,
2027-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2027-08-02,scotland,Summer bank holiday,
2027-08-30,england-and-wales,Summer bank holiday,
2027-08-30,northern-ireland,Summer bank holiday,
2027-11-30,scotland,St Andrew’s Day,
2027-12-27,england-and-wales,Christmas Day,Substitute day
2027-12-27,northern-ireland,Christmas Day,Substitute day
2027-12-27,scotland,Christmas Day,Substitute day
2027-12-28,england-and-wales,Boxing Day,Substitute day
2027-12-28,northern-ireland,Boxing Day,Substitute day
2027-12-28,scotland,Boxing Day,Substitute day
2028-01-03,england-and-wales,New Year’s Day,Substitute day
2028-01-03,northern-ireland,New Year’s Day,Substitute day
2028-01-03,scotland,New Year’s Day,Substitute day
2028-01-04,scotland,2nd January,Substitute day
2028-03-17,northern-ireland,St Patrick’s Day,
2028-04-14,england-and-wales,Good Friday,
2028-04-14,northern-ireland,Good Friday,
2028-04-14,scotland,Good Friday,
2028-04-17,england-and-wales,Easter Monday,
2028-04-17,northern-ireland,Easter Monday,
2028-05-01,england-and-wales,Early May bank holiday,
2028-05-01,northern-ireland,Early May bank holiday,
2028-05-01,scotland,Early May bank holiday,
2028-05-29,england-and-wales,Spring bank holiday,
2028-05-29,northern-ireland,Spring bank holiday,
2028-05-29,scotland,Spring bank holiday,
2028-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2028-08-07,scotland,Summer bank holiday,
2028-08-28,england-and-wales,Summer bank holiday,
2028-08-28,northern-ireland,Summer bank holiday,
2028-11-30,scotland,St Andrew’s Day,
2028-12-25,england-and-wales,Christmas Day,
2028-12-25,northern-ireland,Christmas Day,
2028-12-25,scotland,Christmas Day,
2028-12-26,england-and-wales,Boxing Day,
2028-12-26,northern-ireland,Boxing Day,
2028-12-26,scotland,Boxing Day,
